Title;Tipo paper;DOI
A critical junctures approach to disaster recovery policies – an idea whose time has come?;conferencePaper;10.1016/j.ijdrr.2021.102164
Agent-based modelling of post-disaster recovery with remote sensing data;journalArticle;10.1016/j.ijdrr.2021.102285
The long-term impact of the 2004 tsunami on Sri Lankan survivors: Exploring the socio-cultural influences on resilience;journalArticle;10.1016/j.ijdrr.2021.102519
A psychological wellbeing perspective of long-term disaster recovery following the Canterbury earthquakes;journalArticle;10.1016/j.ijdrr.2021.102438
Nonprofit Financial Resilience: Recovery from Natural Disasters;journalArticle;10.1007/s11266-021-00415-w
Community Participation and Strengthening in a Reconstruction Context After a Natural Disaster;conferencePaper;10.1080/10852352.2014.973296
Does post-disaster aid promote community resilience? Evidence from federal disaster programs;journalArticle;10.1007/s11069-021-04826-2
Complexity of resilience capacities: Household capitals and resilience outcomes on the disaster cycle in informal settlements;journalArticle;10.1016/j.ijdrr.2021.102292
Embedded entrepreneurs and post-disaster community recovery;conferencePaper;10.1080/08985626.2018.1457084
Developing a resilience index towards natural disasters in Indonesia;conferencePaper;10.1016/j.ijdrr.2014.10.007
A hierarchy of measures for infrastructure resilience – learning from post-disaster reconstruction in Christchurch, New Zealand;book;10.1080/10286608.2015.1022728
The power of localism during the long-term disaster recovery process;conferencePaper;10.1108/DPM-05-2018-0150
Exploring interdepencies and common goals in disaster recovery coordination;book;10.1016/j.proeng.2018.01.129
The Experiences for Post-disaster Reconstruction in Rural China: The Implications from Data Mining;bookSection;
Flirting with danger: practice dilemmas for community development in disaster recovery;journalArticle;10.1080/15575330.2014.968855
Occupational disruption and natural disaster: Finding a ‘new normal’ in a changed context;journalArticle;10.1080/14427591.2017.1306790
Patterns of disaster commemoration in long?term recovery;journalArticle;10.1111/gere.12316
Analyzing Logistic Operations in Rain and Storm-related Disaster: a Case Study of Four Cities in Sao Paulo, Brazil.;journalArticle;
Disaster recovery from a gender and diversity perspective: Cases following megadisasters in Japan and Asian countries;journalArticle;
Differential vulnerability and resilience of earthquake: A case of displaced Tamangs of Tiru and Gogane villages of Central Nepal;book;10.1016/j.pdisas.2021.100205
Aceh tsunami: Long-term economic recovery after the disaster;journalArticle;10.1016/j.ijdrr.2021.102606
Analysing spatial interdependence among the 2011 Thailand flood-affected small and medium enterprises for reduction of disaster recovery time period;bookSection;10.1186/s40677-021-00180-4
Ecuadorian housing resettlements five years after the 2016 earthquake: A critical analysis;journalArticle;10.1016/j.habitatint.2021.102433
Mexico City during and after the September 19, 2017 earthquake: Assessment of seismic resilience and ongoing recovery process;journalArticle;10.1007/s13349-021-00511-x
Adoption of seismic-resistant techniques in reconstructed housing in the aftermath of Nepal’s 2015 Gorkha earthquake;journalArticle;10.1177/87552930211009530
Living-transforming disaster relief shelter: a conceptual approach for sustainable post-disaster housing;journalArticle;10.1108/BEPAM-04-2020-0076
Determining the depth of households' participation influencing the level of their residential satisfaction in a post-Haiyan resettlement;journalArticle;10.1016/j.ijdrr.2021.102490
Multi-hazards, displaced people's vulnerability and resettlement: Post-earthquake experiences from Rasuwa district in Nepal and their connections to policy loopholes and reconstruction practices;journalArticle;10.1016/j.pdisas.2021.100187
Possible roles of People's Organization for post-disaster community recovery: A case study on recovery process after Philippine Typhoon Yolanda;journalArticle;10.1016/j.pdisas.2021.100184
A multidimensional framework for disaster recovery: Longitudinal qualitative evidence from Puerto Rican households;journalArticle;10.1016/j.worlddev.2021.105489
Consideration on local housing reconstruction system for large-scale tsunami disaster ? through the action of housing reconstruction in Rikuzentakata city ?;bookSection;10.3130/aijt.27.859
Dilemmas, decision-making, and disasters: Emotions of parenting, safety, and rebuilding in bushfire recovery;journalArticle;10.1111/area.12696
Reconstructing post-earthquake settlement using community deliberation participation approach in Yogyakarta-Indonesia;journalArticle;10.21837/PM.V19I15.928
A conceptual framework integrating “building back better” and post-earthquake needs for recovery and reconstruction;journalArticle;10.3390/su13105608
Preventing post-disaster population losses and recovery policy;journalArticle;10.5055/JEM.0580
Data Digitization to Mitigate Legal Disputes during Reconstruction in Earthquake-Prone Areas;journalArticle;10.1061/(ASCE)LA.1943-4170.0000455
Modeling housing recovery after the 2018 Lombok earthquakes using a stochastic queuing model;journalArticle;10.1177/8755293020970972
Mobilization of social capital during post Haiyan in the two municipalities of Leyte Province, Philippines;conferencePaper;10.1088/1755-1315/708/1/012099
Women empowerment in post- disaster recovery after 2018 tsunami in Sumur Regency Pandeglang District;journalArticle;10.1088/1755-1315/708/1/012072
The role of acknowledgment in the psychosocial recovery of young adults in disaster events;bookSection;10.47389/36.2.42
Wellbeing recovery inequity following the 2010/2011 Canterbury earthquake sequence: repeated cross-sectional studies;book;10.1111/1753-6405.13054
Understanding short-term household recoveries from the 2015 Nepal earthquakes: Lessons learned and recommendations;journalArticle;10.1016/j.pdisas.2021.100169
Community-based participatory approach in cultural heritage reconstruction: A case study of Kasthamandap;journalArticle;10.1016/j.pdisas.2021.100153
Inclusion of the poor and vulnerable: Learning from post-earthquake housing reconstruction in Nepal;journalArticle;10.1016/j.pdisas.2021.100162
Community led post-earthquake heritage reconstruction in Patan–issues and lessons learned;journalArticle;10.1016/j.pdisas.2021.100156
An analysis of use and effectiveness of communication channels, media and tools in post-earthquake private housing reconstruction in Nepal;conferencePaper;10.1016/j.pdisas.2021.100157
Reconstruction assistance in rural Nepal after the 2015 Gorkha Nepal earthquake through Aarma Parmah approach - A case study in Bijulikot, Ramechhap District;journalArticle;10.1016/j.pdisas.2021.100148
Geographies of doing nothing–internal displacement and practices of post-disaster recovery in urban areas of the Kathmandu valley, Nepal;journalArticle;10.3390/socsci10030110
A system disconnected: perspectives on post-disaster housing recovery policy and programs;journalArticle;10.1007/s11069-020-04463-1
Leaving Problematic Assets Behind: Lessons from Post-tsunami Reconstruction in Aceh;journalArticle;10.1088/1755-1315/682/1/012007
Support from inland local governments for the reconstruction from tsunami disaster: Case of Morioka City, Iwate Pref.;journalArticle;10.3130/AIJT.27.493
An Inquiry into Success Factors for Post-disaster Housing Reconstruction Projects: A Case of Kerala, South India;journalArticle;10.1007/s13753-020-00309-3
