titulo;tipo_paper;doi
A Critical Junctures Approach To Disaster Recovery Policies – An Idea Whose Time Has Come?;Conferencepaper;10.1016/j.ijdrr.2021.102164
Agent-Based Modelling Of Post-Disaster Recovery With Remote Sensing Data;Journalarticle;10.1016/j.ijdrr.2021.102285
The Long-Term Impact Of The 2004 Tsunami On Sri Lankan Survivors: Exploring The Socio-Cultural Influences On Resilience;Journalarticle;10.1016/j.ijdrr.2021.102519
A Psychological Wellbeing Perspective Of Long-Term Disaster Recovery Following The Canterbury Earthquakes;Journalarticle;10.1016/j.ijdrr.2021.102438
Nonprofit Financial Resilience: Recovery From Natural Disasters;Journalarticle;10.1007/s11266-021-00415-w
Community Participation And Strengthening In A Reconstruction Context After A Natural Disaster;Conferencepaper;10.1080/10852352.2014.973296
Does Post-Disaster Aid Promote Community Resilience? Evidence From Federal Disaster Programs;Journalarticle;10.1007/s11069-021-04826-2
Complexity Of Resilience Capacities: Household Capitals And Resilience Outcomes On The Disaster Cycle In Informal Settlements;Journalarticle;10.1016/j.ijdrr.2021.102292
Embedded Entrepreneurs And Post-Disaster Community Recovery;Conferencepaper;10.1080/08985626.2018.1457084
Developing A Resilience Index Towards Natural Disasters In Indonesia;Conferencepaper;10.1016/j.ijdrr.2014.10.007
A Hierarchy Of Measures For Infrastructure Resilience – Learning From Post-Disaster Reconstruction In Christchurch, New Zealand;Book;10.1080/10286608.2015.1022728
The Power Of Localism During The Long-Term Disaster Recovery Process;Conferencepaper;10.1108/DPM-05-2018-0150
Exploring Interdepencies And Common Goals In Disaster Recovery Coordination;Book;10.1016/j.proeng.2018.01.129
The Experiences For Post-Disaster Reconstruction In Rural China: The Implications From Data Mining;Booksection;
Flirting With Danger: Practice Dilemmas For Community Development In Disaster Recovery;Journalarticle;10.1080/15575330.2014.968855
Occupational Disruption And Natural Disaster: Finding A ‘New Normal’ In A Changed Context;Journalarticle;10.1080/14427591.2017.1306790
Patterns Of Disaster Commemoration In Long‐Term Recovery;Journalarticle;10.1111/gere.12316
Analyzing Logistic Operations In Rain And Storm-Related Disaster: A Case Study Of Four Cities In Sao Paulo, Brazil.;Journalarticle;
Disaster Recovery From A Gender And Diversity Perspective: Cases Following Megadisasters In Japan And Asian Countries;Journalarticle;
Differential Vulnerability And Resilience Of Earthquake: A Case Of Displaced Tamangs Of Tiru And Gogane Villages Of Central Nepal;Book;10.1016/j.pdisas.2021.100205
Aceh Tsunami: Long-Term Economic Recovery After The Disaster;Journalarticle;10.1016/j.ijdrr.2021.102606
Analysing Spatial Interdependence Among The 2011 Thailand Flood-Affected Small And Medium Enterprises For Reduction Of Disaster Recovery Time Period;Booksection;10.1186/s40677-021-00180-4
Ecuadorian Housing Resettlements Five Years After The 2016 Earthquake: A Critical Analysis;Journalarticle;10.1016/j.habitatint.2021.102433
Mexico City During And After The September 19, 2017 Earthquake: Assessment Of Seismic Resilience And Ongoing Recovery Process;Journalarticle;10.1007/s13349-021-00511-x
Adoption Of Seismic-Resistant Techniques In Reconstructed Housing In The Aftermath Of Nepal’S 2015 Gorkha Earthquake;Journalarticle;10.1177/87552930211009530
Living-Transforming Disaster Relief Shelter: A Conceptual Approach For Sustainable Post-Disaster Housing;Journalarticle;10.1108/BEPAM-04-2020-0076
Determining The Depth Of Households' Participation Influencing The Level Of Their Residential Satisfaction In A Post-Haiyan Resettlement;Journalarticle;10.1016/j.ijdrr.2021.102490
Multi-Hazards, Displaced People'S Vulnerability And Resettlement: Post-Earthquake Experiences From Rasuwa District In Nepal And Their Connections To Policy Loopholes And Reconstruction Practices;Journalarticle;10.1016/j.pdisas.2021.100187
Possible Roles Of People'S Organization For Post-Disaster Community Recovery: A Case Study On Recovery Process After Philippine Typhoon Yolanda;Journalarticle;10.1016/j.pdisas.2021.100184
A Multidimensional Framework For Disaster Recovery: Longitudinal Qualitative Evidence From Puerto Rican Households;Journalarticle;10.1016/j.worlddev.2021.105489
Consideration On Local Housing Reconstruction System For Large-Scale Tsunami Disaster − Through The Action Of Housing Reconstruction In Rikuzentakata City −;Booksection;10.3130/aijt.27.859
Dilemmas, Decision-Making, And Disasters: Emotions Of Parenting, Safety, And Rebuilding In Bushfire Recovery;Journalarticle;10.1111/area.12696
Reconstructing Post-Earthquake Settlement Using Community Deliberation Participation Approach In Yogyakarta-Indonesia;Journalarticle;10.21837/PM.V19I15.928
A Conceptual Framework Integrating “Building Back Better” And Post-Earthquake Needs For Recovery And Reconstruction;Journalarticle;10.3390/su13105608
Preventing Post-Disaster Population Losses And Recovery Policy;Journalarticle;10.5055/JEM.0580
Data Digitization To Mitigate Legal Disputes During Reconstruction In Earthquake-Prone Areas;Journalarticle;10.1061/(ASCE)LA.1943-4170.0000455
Modeling Housing Recovery After The 2018 Lombok Earthquakes Using A Stochastic Queuing Model;Journalarticle;10.1177/8755293020970972
Mobilization Of Social Capital During Post Haiyan In The Two Municipalities Of Leyte Province, Philippines;Conferencepaper;10.1088/1755-1315/708/1/012099
Women Empowerment In Post- Disaster Recovery After 2018 Tsunami In Sumur Regency Pandeglang District;Journalarticle;10.1088/1755-1315/708/1/012072
The Role Of Acknowledgment In The Psychosocial Recovery Of Young Adults In Disaster Events;Booksection;10.47389/36.2.42
Wellbeing Recovery Inequity Following The 2010/2011 Canterbury Earthquake Sequence: Repeated Cross-Sectional Studies;Book;10.1111/1753-6405.13054
Understanding Short-Term Household Recoveries From The 2015 Nepal Earthquakes: Lessons Learned And Recommendations;Journalarticle;10.1016/j.pdisas.2021.100169
Community-Based Participatory Approach In Cultural Heritage Reconstruction: A Case Study Of Kasthamandap;Journalarticle;10.1016/j.pdisas.2021.100153
Inclusion Of The Poor And Vulnerable: Learning From Post-Earthquake Housing Reconstruction In Nepal;Journalarticle;10.1016/j.pdisas.2021.100162
Community Led Post-Earthquake Heritage Reconstruction In Patan–Issues And Lessons Learned;Journalarticle;10.1016/j.pdisas.2021.100156
An Analysis Of Use And Effectiveness Of Communication Channels, Media And Tools In Post-Earthquake Private Housing Reconstruction In Nepal;Conferencepaper;10.1016/j.pdisas.2021.100157
