"titulo","tipo_paper","doi","doi1"
"A Critical Junctures Approach To Disaster Recovery Policies - An Idea Whose Time Has Come?","conferencePaper","10.1016/j.ijdrr.2021.102164","10.1016"
"Agent-Based Modelling Of Post-Disaster Recovery With Remote Sensing Data","journalArticle","10.1016/j.ijdrr.2021.102285","10.1016"
"The Long-Term Impact Of The 2004 Tsunami On Sri Lankan Survivors: Exploring The Socio-Cultural Influences On Resilience","journalArticle","10.1016/j.ijdrr.2021.102519","10.1016"
"A Psychological Wellbeing Perspective Of Long-Term Disaster Recovery Following The Canterbury Earthquakes","journalArticle","10.1016/j.ijdrr.2021.102438","10.1016"
"Nonprofit Financial Resilience: Recovery From Natural Disasters","journalArticle","10.1007/s11266-021-00415-w","10.1007"
"Community Participation And Strengthening In A Reconstruction Context After A Natural Disaster","conferencePaper","10.1080/10852352.2014.973296","10.1080"
"Does Post-Disaster Aid Promote Community Resilience? Evidence From Federal Disaster Programs","journalArticle","10.1007/s11069-021-04826-2","10.1007"
"Complexity Of Resilience Capacities: Household Capitals And Resilience Outcomes On The Disaster Cycle In Informal Settlements","journalArticle","10.1016/j.ijdrr.2021.102292","10.1016"
"Embedded Entrepreneurs And Post-Disaster Community Recovery","conferencePaper","10.1080/08985626.2018.1457084","10.1080"
"Developing A Resilience Index Towards Natural Disasters In Indonesia","conferencePaper","10.1016/j.ijdrr.2014.10.007","10.1016"
"A Hierarchy Of Measures For Infrastructure Resilience - Learning From Post-Disaster Reconstruction In Christchurch New Zealand","book","10.1080/10286608.2015.1022728","10.1080"
"The Power Of Localism During The Long-Term Disaster Recovery Process","conferencePaper","10.1108/DPM-05-2018-0150","10.1108"
"Exploring Interdepencies And Common Goals In Disaster Recovery Coordination","book","10.1016/j.proeng.2018.01.129","10.1016"
"Flirting With Danger: Practice Dilemmas For Community Development In Disaster Recovery","journalArticle","10.1080/15575330.2014.968855","10.1080"
"Occupational Disruption And Natural Disaster: Finding A ‘New Normal’ In A Changed Context","journalArticle","10.1080/14427591.2017.1306790","10.1080"
"Patterns Of Disaster Commemoration In Long‐Term Recovery","journalArticle","10.1111/gere.12316","10.1111"
"Differential Vulnerability And Resilience Of Earthquake: A Case Of Displaced Tamangs Of Tiru And Gogane Villages Of Central Nepal","book","10.1016/j.pdisas.2021.100205","10.1016"
"Aceh Tsunami: Long-Term Economic Recovery After The Disaster","journalArticle","10.1016/j.ijdrr.2021.102606","10.1016"
"Analysing Spatial Interdependence Among The 2011 Thailand Flood-Affected Small And Medium Enterprises For Reduction Of Disaster Recovery Time Period","bookSection","10.1186/s40677-021-00180-4","10.1186"
"Ecuadorian Housing Resettlements Five Years After The 2016 Earthquake: A Critical Analysis","journalArticle","10.1016/j.habitatint.2021.102433","10.1016"
"Mexico City During And After The September 19 2017 Earthquake: Assessment Of Seismic Resilience And Ongoing Recovery Process","journalArticle","10.1007/s13349-021-00511-x","10.1007"
"Adoption Of Seismic-Resistant Techniques In Reconstructed Housing In The Aftermath Of Nepal’S 2015 Gorkha Earthquake","journalArticle","10.1177/87552930211009530","10.1177"
"Living-Transforming Disaster Relief Shelter: A Conceptual Approach For Sustainable Post-Disaster Housing","journalArticle","10.1108/BEPAM-04-2020-0076","10.1108"
"Determining The Depth Of Households' Participation Influencing The Level Of Their Residential Satisfaction In A Post-Haiyan Resettlement","journalArticle","10.1016/j.ijdrr.2021.102490","10.1016"
"Multi-Hazards Displaced People'S Vulnerability And Resettlement: Post-Earthquake Experiences From Rasuwa District In Nepal And Their Connections To Policy Loopholes And Reconstruction Practices","journalArticle","10.1016/j.pdisas.2021.100187","10.1016"
"Possible Roles Of People'S Organization For Post-Disaster Community Recovery: A Case Study On Recovery Process After Philippine Typhoon Yolanda","journalArticle","10.1016/j.pdisas.2021.100184","10.1016"
"A Multidimensional Framework For Disaster Recovery: Longitudinal Qualitative Evidence From Puerto Rican Households","journalArticle","10.1016/j.worlddev.2021.105489","10.1016"
"Consideration On Local Housing Reconstruction System For Large-Scale Tsunami Disaster − Through The Action Of Housing Reconstruction In Rikuzentakata City −","bookSection","10.3130/aijt.27.859","10.3130"
"Dilemmas Decision-Making And Disasters: Emotions Of Parenting Safety And Rebuilding In Bushfire Recovery","journalArticle","10.1111/area.12696","10.1111"
"Reconstructing Post-Earthquake Settlement Using Community Deliberation Participation Approach In Yogyakarta-Indonesia","journalArticle","10.21837/PM.V19I15.928","10.2183"
"A Conceptual Framework Integrating “Building Back Better” And Post-Earthquake Needs For Recovery And Reconstruction","journalArticle","10.3390/su13105608","10.3390"
"Preventing Post-Disaster Population Losses And Recovery Policy","journalArticle","10.5055/JEM.0580","10.5055"
"Data Digitization To Mitigate Legal Disputes During Reconstruction In Earthquake-Prone Areas","journalArticle","10.1061/(ASCE)LA.1943-4170.0000455","10.1061"
"Modeling Housing Recovery After The 2018 Lombok Earthquakes Using A Stochastic Queuing Model","journalArticle","10.1177/8755293020970972","10.1177"
"Mobilization Of Social Capital During Post Haiyan In The Two Municipalities Of Leyte Province Philippines","conferencePaper","10.1088/1755-1315/708/1/012099","10.1088"
"Women Empowerment In Post- Disaster Recovery After 2018 Tsunami In Sumur Regency Pandeglang District","journalArticle","10.1088/1755-1315/708/1/012072","10.1088"
"The Role Of Acknowledgment In The Psychosocial Recovery Of Young Adults In Disaster Events","bookSection","10.47389/36.2.42","10.4738"
